CustomerID,CustomerName,Region,SignupDate,Month
C0188,Anna Ball,South America,2022-05-17,5
C0189,Sherri Dixon,North America,2024-01-22,1
C0190,Alexander Lowe,South America,2024-05-31,5
C0191,Samantha Gibson DVM,South America,2024-04-07,4
C0192,Sarah Arias,South America,2022-09-15,9
C0193,Douglas Torres,Asia,2023-02-03,2
C0194,Stacy Cook,North America,2024-05-04,5
C0195,Jeremy Mclaughlin,South America,2024-09-17,9
C0196,Laura Watts,Europe,2022-06-07,6
C0197,Christina Harvey,Europe,2023-03-21,3
C0198,Rebecca Ray,Europe,2022-02-27,2
C0199,Andrea Jenkins,Europe,2022-12-03,12
C0200,Kelly Cross,Asia,2023-06-11,6
